Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B2_5_A_control_RA,2024-07-12 12:18:41,,/Volumes/My_Passport/RR_NEO/30_6/B2_B3/cut/B2_5_A_control.mov,750.730,30.0,black,Zone of Interest,,,STATE,92.867,101.333,8.466,,
B2_5_A_control_RA,2024-07-12 12:18:41,,/Volumes/My_Passport/RR_NEO/30_6/B2_B3/cut/B2_5_A_control.mov,750.730,30.0,redblue,Eating,,,POINT,92.867,92.867,NA,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,redblue,Zone of Interest,,,STATE,93.233,122.633,29.400,,
B2_5_A_control_RA,2024-07-12 12:18:41,,/Volumes/My_Passport/RR_NEO/30_6/B2_B3/cut/B2_5_A_control.mov,750.730,30.0,black,Eating,,,POINT,93.400,93.400,NA,,
B6_2_BY_PY_control_RA,2024-07-14 14:14:55,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B6_2_BY_PY_control.mov,673.380,24.0,No focal subject,Eating,,,POINT,94.250,94.250,NA,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,black,Zone of Interest,,,STATE,96.033,117.333,21.300,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,blue,Zone of Interest,,,STATE,96.500,116.033,19.533,,
B7_7_BB_PR_novel_RA,2024-07-16 13:24:40,,/Volumes/My_Passport/RR_NEO/16_7/cut/B7_7_BB_PR_novel.mov,649.600,25.0,No focal subject,Zone of Interest,,,STATE,96.800,146.560,49.760,,
B7_4_B_control_RA,2024-07-16 09:15:46,,/Volumes/My_Passport/RR_NEO/13_7/cut/B7_4_B_control.mov,679.870,30.0,redblue,Zone of Interest,,,STATE,98.567,131.967,33.400,,
B6_7_B_novel_RA,2024-07-17 08:39:26,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_B_novel.mov,713.800,25.0,redblack,Zone of Interest,,,STATE,99.240,305.360,206.120,,
B6_4_BP_RY_novel_RA,2024-07-16 07:45:19,,/Volumes/My_Passport/RR_NEO/13_7/cut/B6_4_BP_RY_novel.mov,670.570,30.0,No focal subject,Zone of Interest,,,STATE,99.900,156.700,56.800,,
B4_3_B_control_RA,2024-07-14 11:24:14,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B4_3_B_control.mov,641.720,25.0,black,Zone of Interest,,,STATE,100.080,168.200,68.120,,
B2_6_GR_PP_control_RA,2024-07-14 09:22:25,,/Volumes/My_Passport/RR_NEO/1_7/B2_B3/cut/B2_6_RY_PP_control.mov,679.230,30.0,No focal subject,Zone of Interest,,,STATE,100.233,614.133,513.900,,
B7_4_A_control_RA,2024-07-16 08:43:57,,/Volumes/My_Passport/RR_NEO/13_7/cut/B7_4_A_control.mov,659.370,30.0,redblue,Zone of Interest,,,STATE,105.133,135.300,30.167,,
B6_2_GR_BB_control_RA,2024-07-14 14:29:44,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B6_2_GR_BB_control.mov,640.000,24.0,No focal subject,Zone of Interest,,,STATE,105.458,213.583,108.125,,
B4_3_B_control_RA,2024-07-14 11:24:14,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B4_3_B_control.mov,641.720,25.0,redblue,Zone of Interest,,,STATE,110.680,157.960,47.280,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,red,Zone of Interest,,,STATE,113.067,154.467,41.400,,
B6_4_BP_RY_novel_RA,2024-07-16 07:45:19,,/Volumes/My_Passport/RR_NEO/13_7/cut/B6_4_BP_RY_novel.mov,670.570,30.0,No focal subject,Eating,,,POINT,113.467,113.467,NA,,
B6_8_BY_PY_novel_RA,2024-07-18 09:30:12,,/Volumes/My_Passport/RR_NEO/17_7/cut/B6_8_BY_PY_novel.mov,654.530,30.0,No focal subject,Zone of Interest,,,STATE,114.733,161.167,46.434,,
B7_4_B_control_RA,2024-07-16 09:15:46,,/Volumes/My_Passport/RR_NEO/13_7/cut/B7_4_B_control.mov,679.870,30.0,blue,Zone of Interest,,,STATE,115.467,166.067,50.600,,
B6_2_PY_BY_control_RA,2024-07-14 14:54:35,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B6_2_PY_BY_control.mov,651.460,24.0,No focal subject,Zone of Interest,,,STATE,119.625,174.708,55.083,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,blue,Zone of Interest,,,STATE,126.133,194.800,68.667,,
B3_6_2A_novel_RA,2024-07-14 09:35:17,,/Volumes/My_Passport/RR_NEO/1_7/B2_B3/cut/B3_6_2A_novel.mov,672.300,30.0,black,Zone of Interest,,,STATE,126.233,128.600,2.367,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,redblue,Zone of Interest,,,STATE,127.867,335.333,207.466,,
B4_3_B_control_RA,2024-07-14 11:24:14,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B4_3_B_control.mov,641.720,25.0,red,Zone of Interest,,,STATE,129.240,185.160,55.920,,
B7_8_B_control_RA,2024-07-20 09:43:19,,/Volumes/My_Passport/RR_NEO/17_7/cut/B7_8_B_control.mov,661.930,30.0,redblue,Zone of Interest,,,STATE,135.967,194.600,58.633,,
B7_4_A_control_RA,2024-07-16 08:43:57,,/Volumes/My_Passport/RR_NEO/13_7/cut/B7_4_A_control.mov,659.370,30.0,redblue,Zone of Interest,,,STATE,137.800,170.367,32.567,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,black,Zone of Interest,,,STATE,139.000,325.500,186.500,,
