Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B7_1_BY_RR_control_SK,2024-07-10 14:59:14,,/Volumes/T7/10_7/cut/B7_1_BY_RR_control.mp4,653.270,30.0,No focal subject,Zone of Interest,,,STATE,35.067,176.133,141.066,,
B2_8_BY_BP_novel_SK,2024-07-13 08:50:21,,/Volumes/T7/3_7/cut/B2_8_BY_BP_novel.mov,672.200,30.0,No focal subject,Eating,,,POINT,35.100,35.100,NA,,
B6_5_A_control_SK,2024-07-14 11:55:33,,/Volumes/T7/14_7/cut/B6_5_A_control.mp4,668.650,25.0,redblue,Eating,,,POINT,35.200,35.200,NA,,
B8_7_B_control_SK,2024-07-19 13:34:08,,/Volumes/Extreme SSD/NEO_Gull 2024/19_7/B8_B9/cut/B8_7_B_control.mp4,641.840,30.0,red,Zone of Interest,,,STATE,35.267,50.300,15.033,,
B4_1_A_novel_SK,2024-07-12 14:50:32,,/Volumes/T7/29_06/B4_B5/cut/B4_1_A_novel.mp4,747.970,25.0,black,Eating,,,POINT,35.280,35.280,NA,,
B2_3_A_novel_SK,2024-06-28 20:19:08,,/Volumes/T7/28_6/cut/B2_3_A_novel.mp4,710.510,30.0,redblue,Eating,,,POINT,35.333,35.333,NA,,
B8_2_BB_BB_novel_SK,2024-07-14 13:23:42,,/Volumes/T7/14_7/cut/B8_2_BB_BB_novel.mp4,796.420,30.0,No focal subject,Zone of Interest,,,STATE,35.333,127.233,91.900,,
B4_1_A_novel_SK,2024-07-12 14:50:32,,/Volumes/T7/29_06/B4_B5/cut/B4_1_A_novel.mp4,747.970,25.0,redblue,Eating,,,POINT,35.400,35.400,NA,,
B7_3_GY_GP_novel_SK,2024-07-15 19:23:00,,/Volumes/T7/11_7/cut/B7_3_GY_GP_novel.mov,650.230,30.0,No focal subject,Zone of Interest,,,STATE,35.457,56.737,21.280,,
B2_2_BR_PP_control_SK,2024-06-27 18:28:32,,/Volumes/T7/27_06/cut/B2_2_BR_PP_control.mp4,710.210,30.0,No focal subject,Trial start,,,POINT,35.467,35.467,NA,,
