Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B5_1_BY_PR_novel_SB,2024-08-01 18:18:09.137,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_1_BY_PR_novel (1).mp4,664.120,25.0,No focal subject,Trial end,,,POINT,621.000,621.000,NA,,
B4_2_GP_BR_novel_SB,2024-08-01 17:16:47.962,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_2_GP_BR_novel (1).mov,732.033,30.0,No focal subject,Trial end,,,POINT,621.466,621.466,NA,,
B7_1_GY_GP_control_SB,2024-08-02 12:41:20.930,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_1_GY_GP_control (1).mp4,651.864,30.0,No focal subject,Trial end,,,POINT,621.730,621.730,NA,,
B5_7_PP_RY_control_SB,2024-08-02 09:58:49.755,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_7_PP_RY_control (1).mp4,866.520,25.0,No focal subject,Trial end,,,POINT,622.000,622.000,NA,,
B5_3_BY_PR_control_SB,2024-08-01 23:40:54.735,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_3_BY_PR_control.mov,654.200,25.0,No focal subject,Trial end,,,POINT,622.690,622.690,NA,,
B2_6_RY_RR_control_SB,2024-08-01 13:30:20.837,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B2_6_RY_RR_control.mov,692.033,30.0,No focal subject,Trial end,,,POINT,623.933,623.933,NA,,
B2_8_PP_BB_novel_SB,2024-08-01 14:01:20.998,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B2_8_PP_BB_novel.mov,707.367,30.0,No focal subject,Trial end,,,POINT,625.166,625.166,NA,,
B4_1_A_novel_SB,2024-08-01 16:35:36.655,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_1_A_novel.mp4,747.440,25.0,No focal subject,Trial end,,,POINT,625.280,625.280,NA,,
B4_5_A_novel,2024-08-01 17:30:36.732,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_5_A_novel (1).mov,646.900,30.0,No focal subject,Trial end,,,POINT,625.600,625.600,NA,,
B3_1_GR_GP_control_SB,2024-08-01 14:34:26.532,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B3_1_GR_GP_control.mov,697.333,30.0,No focal subject,Trial end,,,POINT,626.266,626.266,NA,,
B5_1_PP_RY_novel_SB,2024-08-01 18:24:45.920,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_1_PP_RY_novel (1).mp4,656.480,25.0,No focal subject,Trial end,,,POINT,628.880,628.880,NA,,
