Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B4_6_BB_BP_novel_SB,2024-08-01 17:46:13.208,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_6_BB_BP_novel (1).mp4,655.040,25.0,No focal subject,Zone of Interest,,,STATE,235.960,632.640,396.680,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,red,Zone of Interest,,,STATE,245.880,376.120,130.240,,
B7_2_B_novel_SB,2024-08-02 12:45:58.766,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_2_B_novel (1).mov,691.583,24.0,red,Zone of Interest,,,STATE,249.458,280.708,31.250,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,redblack,Zone of Interest,,,STATE,309.760,366.240,56.480,,
B4_2_YY_BR_novel_SB,2024-08-01 17:24:58.900,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_2_YY_BR_novel (1).mov,675.233,30.0,No focal subject,Zone of Interest,,,STATE,309.967,618.867,308.900,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,black,Zone of Interest,,,STATE,334.600,367.200,32.600,,
B7_8_B_control_SB,2024-08-03 16:39:30.305,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_8_B_control (1).mov,661.033,30.0,redblue,Zone of Interest,,,STATE,335.167,479.200,144.033,,
B6_4_GG_BG_novel_SB,2024-08-02 13:26:37.753,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_4_GG_BG_novel (1).mov,659.667,30.0,No focal subject,Zone of Interest,,,STATE,339.300,382.867,43.567,,
B7_8_B_control_SB,2024-08-03 16:39:30.305,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_8_B_control (1).mov,661.033,30.0,red,Zone of Interest,,,STATE,343.700,494.700,151.000,,
B7_2_B_novel_SB,2024-08-02 12:45:58.766,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_2_B_novel (1).mov,691.583,24.0,black,Zone of Interest,,,STATE,346.624,452.958,106.334,,
B7_8_B_control_SB,2024-08-03 16:39:30.305,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_8_B_control (1).mov,661.033,30.0,blue,Zone of Interest,,,STATE,350.267,481.400,131.133,,
B7_2_B_novel_SB,2024-08-02 12:45:58.766,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_2_B_novel (1).mov,691.583,24.0,red,Zone of Interest,,,STATE,352.499,418.791,66.292,,
B7_8_B_control_SB,2024-08-03 16:39:30.305,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_8_B_control (1).mov,661.033,30.0,redblack,Zone of Interest,,,STATE,357.667,474.400,116.733,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,black,Zone of Interest,,,STATE,369.960,458.280,88.320,,
B9_7_PP_GP_control_SB,2024-08-02 11:37:55.907,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B9_7_PP_GP_control.mp4,663.663,30.0,No focal subject,Zone of Interest,,,STATE,387.097,439.263,52.166,,
B7_2_B_novel_SB,2024-08-02 12:45:58.766,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_2_B_novel (1).mov,691.583,24.0,blue,Zone of Interest,,,STATE,396.249,412.791,16.542,,
B7_4_B_control_SB,2024-08-02 14:40:34.108,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_4_B_control.mov,679.800,30.0,red,Zone of Interest,,,STATE,406.166,425.899,19.733,,
B9_5_PP_GP_novel_SB,2024-08-03 19:13:23.127,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B9_5_PP_GP_novel (1).mp4,719.536,30.0,No focal subject,Zone of Interest,,,STATE,409.437,444.203,34.766,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,redblack,Zone of Interest,,,STATE,418.280,478.000,59.720,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,red,Zone of Interest,,,STATE,420.640,618.200,197.560,,
B7_4_B_control_SB,2024-08-02 14:40:34.108,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_4_B_control.mov,679.800,30.0,red,Zone of Interest,,,STATE,446.433,505.899,59.466,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,blue,Zone of Interest,,,STATE,454.520,548.120,93.600,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,blue,Eating,,,POINT,457.680,457.680,NA,,
B9_7_PP_GP_control_SB,2024-08-02 11:37:55.907,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B9_7_PP_GP_control.mp4,663.663,30.0,No focal subject,Zone of Interest,,,STATE,458.563,476.997,18.434,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,black,Zone of Interest,,,STATE,465.000,486.880,21.880,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,redblue,Zone of Interest,,,STATE,482.440,483.520,1.080,,
