"","Bird_ID","Trial","Enclosure","Object","Context","Latency_to_enter","Latency_to_Eat","Zoi_duration","Object_Type","GroupID","NestID","group_dummy","ind_dummy","Object_contrast","Context_contrast"
"84","PR_GG","3","B5","control","individual",1.68,3.64,155.88,4,NA,"2024BL09",0,1,-0.5,-0.5
"85","PR_GG","7","B5","control","individual",1.64,6.12,86.24,4,NA,"2024BL09",0,1,-0.5,-0.5
"86","PY_BP","3","B3","novel","individual",0.400000000000006,600,0,1,NA,"2024DH01",0,1,0.5,-0.5
"87","PY_BP","4","B3","control","group",0.699999999999999,2.933,40.533,2,"2A","2024DH01",1,0,-0.5,0.5
"88","PY_BR","6","B8","novel","individual",1.166,19.867,103.334,5,NA,"2024BL08",0,1,0.5,-0.5
"89","PY_BY","4","B6","novel","individual",0.567,6.767,26.034,3,NA,"2024BL04",0,1,0.5,-0.5
"90","PY_GP","6","B8","novel","individual",1.1,5.467,46.966,5,NA,"2024OO35",0,1,0.5,-0.5
"91","PY_GY","2","B7","novel","group",1.334,2.916,130.584,3,"6B","2024VM02",1,0,0.5,0.5
"92","PY_GY","4","B7","control","group",1.433,2.734,36.433,2,"6B","2024VM02",1,0,-0.5,0.5
"93","PY_GY","8","B7","control","group",1.2,3.467,62.1,2,"6B","2024VM02",1,0,-0.5,0.5
"94","RR_BY","5","B5","novel","individual",1.7,13.633,128.766,2,NA,"2024KN15",0,1,0.5,-0.5
"95","RR_PP","5","B5","novel","individual",1.8,5.5,37.766,2,NA,"2024BL02",0,1,0.5,-0.5
"96","RR_PP","8","B5","novel","group",0.560000000000002,2.88,349.72,5,"4A","2024BL02",1,0,0.5,0.5
"97","RY_GG","7","B3","novel","individual",7.133,600,0,3,NA,"2024BR01",0,1,0.5,-0.5
"98","RY_RR","6","B2","control","individual",1.033,7.934,77.166,1,NA,"2024OO30",0,1,-0.5,-0.5
"99","YY_BR","1","B4","novel","group",6.44,3.08,72.48,5,"3A","2024OO20",1,0,0.5,0.5
"100","YY_BR","2","B4","novel","individual",0.565999999999999,3.9,431.1,1,NA,"2024OO20",0,1,0.5,-0.5
"101","YY_PP","5","B2","control","group",0.900000000000006,3.09999999999999,99.366,1,"1A","2024OO30",1,0,-0.5,0.5
"102","YY_PP","7","B2","novel","group",0.900000000000006,3.53399999999999,171.034,2,"1A","2024OO30",1,0,0.5,0.5
"103","YY_PP","8","B2","novel","individual",1.966,16.034,86.7,5,NA,"2024OO30",0,1,0.5,-0.5
